TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.LEDLight_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5973575915096383,193,104
statechart.LEDLight_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5263426087180877,213,95
statechart.LightSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9091503267973856,102,92
statechart.Light,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6284780578898226,126,66
statechart.Light_controllerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4667494481236203,175,65
statechart.Light_controller,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4799579253221637,213,91
statechart.Light_switchSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4574468085106383,120,50
statechart.Light_switch,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5399769655088804,138,75
statechart.LightCtrlSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9084084084084084,92,83
statechart.LightCtrl,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6107142857142857,96,45
statechart.LineFollowerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8084795321637427,168,105
statechart.LineFollower,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8094058877734129,287,208
statechart.Microwave_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6748210395269219,337,273
statechart.Microwave_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.552931043218321,384,151
statechart.MotionDetectionSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6813131313131313,254,202
statechart.MotionDetection,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5563830182371949,263,104
statechart.MotorControlSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9037319762510602,146,129
statechart.MotorControl,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8988549618320612,175,162
statechart.MqttClientStatechartSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5572104018912529,592,196
statechart.MqttClientStatechart,BRANCH;METHODNOEXCEPTION;OUTPUT,0.47090398436954856,670,264
statechart.MusicPlayerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4412579798870526,1318,532
statechart.MusicPlayer,BRANCH;METHODNOEXCEPTION;OUTPUT,0.31406494389739964,1443,419
statechart.Network_ComponentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8211111111111111,217,142
statechart.Network_Component,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6234057971014493,246,97
statechart.OnoffSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7274681728009861,684,510
statechart.Onoff,BRANCH;METHODNOEXCEPTION;OUTPUT,0.49857092685725934,781,315
statechart.mrw.statechart.OperatingModeSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.39746588693957113,199,64
statechart.mrw.statechart.OperatingMode,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4966895207367077,236,103
statechart.OrthogonalitySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8885438233264321,178,150
statechart.Orthogonality,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9727463312368974,184,171
statechart.ParentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9209702660406887,86,80
statechart.Parent,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9461658841940532,100,96
statechart.ParentfirstSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8718371837183718,116,93
statechart.Parentfirst,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9298871063576947,132,116
statechart.PhysicalEntity_TemplateSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.42597402597402595,433,134
statechart.PhysicalEntity_Template,BRANCH;METHODNOEXCEPTION;OUTPUT,0.48931632402519903,533,235
statechart.PhysicsSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8954248366013072,118,102
statechart.Physics,BRANCH;METHODNOEXCEPTION;OUTPUT,0.646878521523552,156,86
statechart.Power_ComponentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7717595859797695,130,88
statechart.Power_Component,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6861034135375657,173,105
statechart.ReleaseProcessSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5721099887766554,125,55
statechart.ReleaseProcess,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6676100628930818,146,79
statechart.RgbSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9619047619047619,159,143
statechart.Rgb,BRANCH;METHODNOEXCEPTION;OUTPUT,0.966183574879227,165,148
statechart.mrw.statechart.RouteSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.920479302832244,326,253
statechart.mrw.statechart.Route,BRANCH;METHODNOEXCEPTION;OUTPUT,0.49203356556297734,360,118
statechart.SampleSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8950617283950617,233,200
statechart.Sample,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5930805640950568,261,101
statechart.mrw.statechart.SectionSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6508634734441187,706,217
statechart.mrw.statechart.Section,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5372336265884653,776,240
statechart.Sensor_ComponentSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8524904214559387,164,123
