TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.Statechart5Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7491721854304636,190,127
statechart.Statechart5,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6767753953184417,212,115
statechart.Statechart6Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8633333333333333,125,111
statechart.Statechart6,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6300362318840579,139,71
statechart.Statechart7Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.769273127753304,268,190
statechart.Statechart7,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6376143680108438,291,128
statechart.StateMachineSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9629629629629629,107,97
statechart.StateMachine,BRANCH;METHODNOEXCEPTION;OUTPUT,0.57385477582846,125,61
statechart.StreetCrossingSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5624726955002184,129,51
statechart.StreetCrossingSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6124977093641194,139,62
statechart.SuperStepsDisabledSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8679918450560652,123,97
statechart.SuperStepsDisabled,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9621265584568337,137,132
statechart.SuperStepsEnabledSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8951690821256039,129,111
statechart.SuperStepsEnabled,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9603864734299518,147,140
statechart.SystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6556701030927835,113,67
statechart.System,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7390833679493474,170,115
statechart.Test_converter_entry_exit_actionsSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7838709677419354,181,124
statechart.Test_converter_entry_exit_actions,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5906918648854133,195,79
statechart.Test_converter_entry_exit_actions_expectedSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7807947019867548,177,120
statechart.Test_converter_entry_exit_actions_expected,BRANCH;METHODNOEXCEPTION;OUTPUT,0.593540259103173,191,79
statechart.Test_get_statechart_mappings31Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9102564102564102,92,83
statechart.Test_get_statechart_mappings31,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9538461538461539,99,95
statechart.Test_remove_duplicate_transitionsSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8762626262626263,84,74
statechart.Test_remove_duplicate_transitions,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9570707070707071,91,87
statechart.Test_remove_duplicate_transitions_expectedSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8802083333333334,82,73
statechart.Test_remove_duplicate_transitions_expected,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9618055555555555,89,86
statechart.Test_remove_unnecessary_nesting_orthogonal_stateSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8995726495726496,119,104
